Animalia,Chordata,Aves,Columbiformes,Columbidae ,Claravis,pretiosa,Claravis pretiosa,Tortolita Azulada,Blue Ground-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Claravis >Especie: pretiosa >N. científico: Claravis pretiosa,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Claravis,mondetoura,Claravis mondetoura,Tortolita Serranera,Maroon-chested Ground-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Claravis >Especie: mondetoura >N. científico: Claravis mondetoura,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Geotrygon,montana,Geotrygon montana,Paloma-Perdiz Rojiza,Ruddy Quail-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Geotrygon >Especie: montana >N. científico: Geotrygon montana,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Geotrygon,violacea,Geotrygon violacea,Paloma-Perdiz Violácea,Violaceous Quail-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Geotrygon >Especie: violacea >N. científico: Geotrygon violacea,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Leptotrygon,veraguensis,Leptotrygon veraguensis,Paloma-Perdiz Bigotiblanca,Olive-backed Quail-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Leptotrygon >Especie: veraguensis >N. científico: Leptotrygon veraguensis,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Leptotila,verreauxi,Leptotila verreauxi,Paloma Coliblanca ,White-tipped Dove,"Coliblanca, Yuré ",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Leptotila >Especie: verreauxi >N. científico: Leptotila verreauxi,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Leptotila,cassinii,Leptotila cassinii,Paloma Pechigrís ,Gray-chested Dove,Yuré,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Leptotila >Especie: cassinii >N. científico: Leptotila cassinii,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Leptotila,plumbeiceps,Leptotila plumbeiceps,Paloma Coronigrís ,Gray-headed Dove,Yuré,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Leptotila >Especie: plumbeiceps >N. científico: Leptotila plumbeiceps,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zentrygon,costaricensis,Zentrygon costaricensis,Paloma-Perdiz Costarriqueña,Buff-fronted Quail-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Zentrygon >Especie: costaricensis >N. científico: Zentrygon costaricensis,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zentrygon,lawrencii,Zentrygon lawrencii,Paloma-Perdiz Sombría,Purplish-backed Quail-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Zentrygon >Especie: lawrencii >N. científico: Zentrygon lawrencii,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zentrygon,chiriquensis,Zentrygon chiriquensis,Paloma-Perdiz Pechicanela,Chiriqui Quail-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Zentrygon >Especie: chiriquensis >N. científico: Zentrygon chiriquensis,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zenaida,asiatica,Zenaida asiatica,Paloma Aliblanca ,White-winged Dove,Arrocera,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Zenaida >Especie: asiatica >N. científico: Zenaida asiatica,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zenaida,auriculata,Zenaida auriculata,Paloma Torcaza,Eared Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Zenaida >Especie: auriculata >N. científico: Zenaida auriculata,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zenaida,macroura,Zenaida macroura,Paloma Rabuda ,Mourning Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Zenaida >Especie: macroura >N. científico: Zenaida macroura,,,,,
Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Piaya,cayana,Piaya cayana,Cuco Ardilla ,Squirrel Cuckoo,"Bobo Chiso, Cacao, San Miguel",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Cuculiformes >Familia: Cuculidae  >Género: Piaya >Especie: cayana >N. científico: Piaya cayana,,,,,
Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Coccyzus,americanus,Coccyzus americanus,Cuclillo Piquigualdo,Yellow-billed Cuckoo,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Cuculiformes >Familia: Cuculidae  >Género: Coccyzus >Especie: americanus >N. científico: Coccyzus americanus,,,,,
Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Coccyzus,minor,Coccyzus minor,Cuclillo de Antifaz,Mangrove Cuckoo,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Cuculiformes >Familia: Cuculidae  >Género: Coccyzus >Especie: minor >N. científico: Coccyzus minor,,,,,
Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Coccyzus,ferrugineus,Coccyzus ferrugineus,Cuclillo de la Isla del Coco,Cocos Cuckoo,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Cuculiformes >Familia: Cuculidae  >Género: Coccyzus >Especie: ferrugineus >N. científico: Coccyzus ferrugineus,,,,,
