0,1,2,3,4,5,6,7,8,9,10,11,12,13
Eucometis  penicillata,Animalia,Chordata,Aves,Passeriformes,Thraupidae ,Eucometis,penicillata,Tangara Cabecigrís,Gray-headed Tanager,"Eucometis  penicillata, Gray-headed Tanager, Tangara Cabecigrís",,,314
Eudocimus albus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae ,Eudocimus,albus,Ibis Blanco ,White Ibis,"Eudocimus albus, White Ibis, Ibis Blanco ",,Coco,64
Euphonia minuta,Animalia,Chordata,Aves,Passeriformes,Fringillidae ,Euphonia,minuta,Eufonia Menuda ,White-vented Euphonia,"Euphonia minuta, White-vented Euphonia, Eufonia Menuda ",,"Finito Canario, Canarito, Canaria, Agüio",366
Formicarius nigricapillus,Animalia,Chordata,Aves,Passeriformes,Formicariidae ,Formicarius,nigricapillus,Gallito Hormiguero Cabecinegro,Black-headed Antthrush,"Formicarius nigricapillus, Black-headed Antthrush, Gallito Hormiguero Cabecinegro",,,224
Fulica americana,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Fulica,americana,Focha Americana,American Coot,"Fulica americana, American Coot, Focha Americana",,,84
Galbula ruficauda,Animalia,Chordata,Aves,Piciformes,Galbulidae ,Galbula,ruficauda,Jacamar Rabirrufo ,Rufous-tailed Jacamar,"Galbula ruficauda, Rufous-tailed Jacamar, Jacamar Rabirrufo ",,Gorrión de Montaña,190
Geotrygon violacea,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Geotrygon,violacea,Paloma-Perdiz Violácea,Violaceous Quail-Dove,"Geotrygon violacea, Violaceous Quail-Dove, Paloma-Perdiz Violácea",,,166
Geranospiza caerulescens,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Geranospiza,caerulescens,Gavilán Ranero ,Crane Hawk,"Geranospiza caerulescens, Crane Hawk, Gavilán Ranero ",,Caracolero,96
Glaucidium griseiceps,Animalia,Chordata,Aves,Accipitriformes,Strigidae ,Glaucidium,griseiceps,Mochuelo Enano,Central American Pygmy-Owl,"Glaucidium griseiceps, Central American Pygmy-Owl, Mochuelo Enano",,,122
Glaucis aeneus,Animalia,Chordata,Aves,Apodiformes,Trochilidae ,Glaucis,aeneus,Ermitaño Bronceado,Bronzy Hermit,"Glaucis aeneus, Bronzy Hermit, Ermitaño Bronceado",,,140
